(0.5803665710223539,0.3550209750397209)
(0.7781788243694091,0.23329394007007503)
(0.5983350715141263,0.016291430828035646)
(0.10378222665769032,0.7353900300252445)
(0.2377521926820293,0.6021120162780443)
(0.786568660447494,0.12592900408902188)
(0.02042458834623284,0.47899241498025574)
(0.3567776968669515,0.7525373752881127)
(0.8156888697964428,0.42485238280551585)
(0.7721965022509828,0.30166927231184143)
(0.8826999012695389,0.22350851670621544)
(0.654584803936166,0.3621056004695452)
(0.7725387517198914,0.11411263005209767)
(0.6101661234276662,0.29206030726166127)
(0.1622614748107689,0.5680782865161593)
(0.5699832560358409,0.6201380360719979)
(0.8687934596026818,0.1871308778982896)
(0.9269568811171229,0.034968335855021015)
(0.7700196226504189,0.23001321596353475)
(0.9200961109027165,0.3300848963844589)
(0.5497072230017775,0.5433026528565945)
(0.2020202280073543,0.9038069361217713)
(0.1869584407590068,0.48223835696053724)
(0.8062861364975327,0.20921339110369852)
(0.6037652375872689,0.38975580154859296)
(0.27333082842966394,0.1915279752690656)
(0.08877581379109645,0.7400045295947384)
(0.5854692354176387,0.6235048463391704)
(0.8500697414225107,0.23437164275632394)
(0.11917784868405124,0.4983568429711133)
(0.7266226434410876,0.26385749345237486)
(0.1936421695602274,0.20773215114661858)
(0.54104510361912,0.07174522761686612)
(0.44575317395668723,0.13186316605622264)
(0.510037842587886,0.47388349404072466)
(0.39460201826639363,0.6906036408883218)
(0.7398383394453326,0.3039147396346286)
(0.07001136176538869,0.9547797657685418)
(0.46301656022149684,0.4856662079125187)
(0.11327975388551226,0.032212164594220806)
(0.13529086086218411,0.5623354461912504)
(0.14445815272555285,0.9862675188577772)
(0.6288883199287404,0.10778984616973603)
(0.15387238156960126,0.15411695949720478)
(0.10605104555372336,0.21357189657172834)
(0.6198691155552764,0.7740459429505323)
(0.3762450333187122,0.8917674633374015)
(0.38810773971057344,0.7770856315215001)
(0.44343646394734204,0.05068220407067632)
(0.24729330502461133,0.9402559323400073)
(0.09701266356635363,0.36826543297263414)
(0.18823805012899963,0.7689359995919374)
(0.792155455587229,0.26591652954794387)
(0.35608426814165695,0.815543785978013)
(0.49691088507700465,0.3857808255634296)
(0.9033728181579374,0.08835505610717137)
(0.8561445255710208,0.48194918604945974)
(0.3589445353264361,0.6653340381476881)
(0.0377811783655152,0.7041730626249955)
(0.1559433983932802,0.16694364165474088)
(0.7038821901950226,0.5828625498697787)
(0.2627562287210481,0.5136385459734807)
(0.24631570325605512,0.06029441152701967)
(0.7786775700837701,0.25904623983178043)
(0.4204930981574111,0.7963418300525127)
(0.7747393045648032,0.1198336297014248)
(0.24473136834409714,0.8291755529442233)
(0.8204273493961739,0.2362644260761061)
(0.920451227307346,0.2226989218451064)
(0.15757846208155946,0.4836102719924321)
(0.7441410053966053,0.2692418177527731)
(0.3218374671293701,0.12284584303556702)
(0.16685592165302165,0.26160667400244203)
(0.6520936915490347,0.4709568382280316)
(0.8585865131864657,0.4818289359032394)
